outcome,species_diversity_index,soil_compaction_kpa,canopy_width_m,nearest_traffic_lane_m,watering_visits_monthly,trunk_diameter_cm,leaf_chlorophyll_index,root_zone_area_m2,summer_heat_days,pest_damage_pct,sidewalk_width_m,night_light_lux
thrives,0.491,260.806,7.264,4.678,2.843,36.865,44.306,9.915,20.684,20.991,2.597,145.741
thrives,0.682,218.058,7.747,7.475,4.998,43.253,50.33,8.436,29.412,7.861,1.741,94.95
thrives,0.938,253.828,7.985,7.246,3.937,45.368,43.531,10.658,5.918,1.68,2.559,161.091
declines,0.485,279.845,4.258,4.684,2.296,31.27,41.63,5.771,33.978,15.993,3.77,153.239
thrives,0.535,330.707,5.625,5.826,2.615,29.384,30.581,7.358,24.761,10.064,3.047,303.958
thrives,0.569,261.449,6.392,7.398,4.806,38.721,39.072,9.672,19.895,20.848,2.817,72.096
thrives,0.604,157.05,6.549,3.222,3.986,45.904,37.789,8.075,22.391,11.031,2.741,109.301
thrives,0.257,279.614,3.078,4.764,1.798,19.905,30.958,6.324,24.456,25.174,1.979,184.866
thrives,0.457,316.061,5.107,4.223,4.566,26.607,27.707,9.108,23.121,13.066,2.138,147.31
declines,0.457,238.874,4.653,5.075,3.027,30.294,33.265,7.194,29.477,6.389,2.44,75.008
thrives,0.504,293.471,5.617,3.049,4.755,29.543,42.402,7.579,22.25,16.885,2.21,116.429
thrives,0.41,261.456,5.342,3.58,3.349,37.205,37.156,8.123,24.979,12.421,2.541,175.981
thrives,0.477,324.715,4.188,0.599,3.66,28.519,26.029,8.405,28.7,18.555,2.476,51.607
thrives,0.813,171.623,8.229,5.981,6.398,36.723,45.398,9.014,18.807,5.091,2.98,259.931
thrives,0.616,232.75,6.012,4.606,3.276,38.886,45.489,8.697,18.498,24.137,1.373,191.83
thrives,0.545,239.254,6.389,6.253,3.151,37.637,37.262,6.964,29.099,14.16,2.113,226.241
thrives,0.64,222.506,6.558,7.51,3.385,39.469,36.816,10.681,20.711,15.577,2.277,92.651
thrives,0.755,258.216,6.058,7.708,2.531,32.164,44.314,8.882,27.806,9.877,1.882,234.255
declines,0.671,196.819,6.45,6.167,3.031,41.863,32.362,10.592,27.796,18.152,3.001,112.617
thrives,0.511,170.532,7.617,6.3,3.419,40.907,49.881,7.643,22.236,18.016,2.966,150.623
thrives,0.562,198.163,7.93,10.383,1.759,48.746,37.931,8.9,25.474,11.164,2.8,175.64
thrives,0.6,260.5,6.63,3.456,3.564,34.307,41.415,9.219,18.06,11.296,3.429,149.202
thrives,0.423,263.144,6.143,4.656,3.458,37.401,34.129,9.292,20.818,22.751,2.312,55.841
declines,0.318,325.619,4.015,1.337,2.548,26.341,32.164,8.623,21.646,23.203,2.684,175.09
thrives,0.64,208.433,4.715,7.885,2.644,29.388,42.966,7.432,30.767,14.466,2.869,169.813
declines,0.692,259.053,4.83,4.217,3.097,26.103,46.575,6.339,11.658,8.994,2.907,148.038
thrives,0.638,220.547,9.015,5.097,4.129,40.475,37.509,14.952,25.982,6.939,2.44,146.958
thrives,0.808,212.505,6.678,2.102,3.501,32.249,47.392,10.121,18.535,25.641,3.049,27.212
declines,0.463,260.504,5.177,5.282,4.198,29.938,37.605,8.435,12.825,17.187,3.573,274.096
declines,0.548,173.665,5.417,7.817,2.738,33.694,32.468,8.393,30.354,17.12,2.494,73.161
declines,0.19,305.2,2.071,4.624,4.077,17.619,38.937,5.036,21.073,24.279,2.644,149.676
declines,0.367,298.902,4.018,0.832,0.921,16.404,29.244,5.569,29.004,34.287,1.632,164.278
thrives,0.556,178.587,7.57,8.141,5.028,40.35,38.506,11.342,18.635,17.985,1.969,91.205
declines,0.588,264.899,6.495,1.703,3.802,41.522,32.143,9.823,18.497,27.488,2.681,145.462
thrives,0.746,221.304,6.453,5.275,4.374,40.353,41.489,10.7,21.427,23.497,2.728,145.448
thrives,0.622,254.161,7.014,2.567,4.191,39.351,33.519,8.941,31.691,11.504,2.241,124.54
thrives,0.864,185.68,8.219,5.251,3.679,50.089,46.54,10.517,19.162,10.039,0.878,149.617
thrives,0.65,213.558,4.989,6.726,3.676,35.297,44.265,6.881,26.36,8.698,3.315,287.028
thrives,0.718,218.355,7.314,3.815,4.049,44.174,45.087,9.502,26.198,12.57,2.915,125.661
thrives,0.789,204.839,8.629,4.402,4.264,46.072,43.558,10.749,20.859,0.0,2.138,109.357
thrives,0.699,153.655,8.044,5.401,4.714,39.316,45.61,9.459,22.454,24.406,3.094,311.917
thrives,0.401,279.505,5.606,0.51,0.686,33.288,39.325,7.106,28.588,16.712,1.497,220.456
declines,0.574,254.092,4.923,3.742,2.376,31.163,27.128,5.574,28.411,24.484,3.607,91.604
thrives,0.608,171.772,8.221,10.463,4.528,40.959,46.844,10.226,7.78,0.127,2.489,185.516
thrives,0.423,175.358,6.53,6.994,4.204,38.051,40.233,8.508,20.927,21.683,4.375,174.615
declines,0.326,284.991,3.296,3.02,0.0,24.168,34.181,7.436,26.137,30.186,3.168,258.734
declines,0.307,286.432,3.307,2.952,1.398,25.392,20.198,7.393,20.173,35.784,3.842,204.726
thrives,0.487,244.524,4.642,0.3,1.892,31.207,33.863,8.935,20.556,18.287,3.505,200.359
declines,0.419,240.588,2.633,1.705,0.796,21.745,31.653,5.977,20.884,26.808,2.502,156.981
thrives,0.813,286.044,6.068,7.419,3.918,30.321,46.712,9.075,20.186,12.833,2.8,136.547
thrives,0.493,265.95,5.551,11.135,1.8,36.72,27.953,8.795,21.66,30.263,1.886,180.974
declines,0.552,273.485,4.47,3.743,3.41,31.313,32.327,8.137,28.303,22.3,2.088,202.134
thrives,0.363,312.522,2.906,2.265,1.3,26.184,31.673,5.192,18.835,23.345,3.073,59.754
thrives,0.759,251.539,5.25,7.543,2.305,33.511,52.377,6.096,31.4,11.282,1.903,102.294
thrives,0.65,252.972,4.951,4.599,2.904,30.555,32.51,7.074,25.489,23.767,2.668,118.352
declines,0.483,265.836,5.607,1.424,3.988,36.847,38.962,8.498,37.162,20.613,2.473,118.146
thrives,0.798,160.513,8.021,6.423,2.938,40.861,41.02,11.216,29.9,6.753,3.45,70.125
declines,0.551,298.977,5.015,3.039,1.837,31.434,27.098,8.35,27.341,22.449,2.782,37.93
thrives,0.477,264.71,8.351,2.889,2.981,46.898,28.476,9.391,48.227,24.133,2.735,238.676
thrives,0.558,221.803,7.195,7.426,2.47,36.195,40.995,10.651,26.092,9.711,2.246,299.314
thrives,0.651,260.718,5.563,6.493,3.348,35.024,41.481,11.328,15.738,5.246,2.164,26.467
thrives,0.589,239.493,5.729,2.909,2.379,29.064,41.447,8.141,26.765,13.262,3.141,254.681
thrives,0.773,151.018,8.161,8.189,4.019,40.259,50.153,10.018,5.247,1.056,2.084,286.942
declines,0.468,195.126,4.862,8.903,4.105,27.038,38.328,10.178,35.907,13.942,1.861,98.232
thrives,0.651,205.088,6.065,5.938,2.932,32.535,38.838,7.357,40.125,12.761,2.95,125.597
thrives,0.563,199.471,7.671,9.625,3.504,36.693,45.968,11.413,24.64,12.733,1.907,56.31
thrives,0.542,261.227,8.653,8.084,3.174,48.558,40.346,8.376,20.091,5.737,3.213,263.309
thrives,0.685,228.709,5.978,2.712,4.624,27.649,43.979,8.892,6.454,16.205,2.333,321.255
thrives,0.418,195.187,5.603,10.471,3.429,36.431,38.978,9.424,21.564,13.365,2.4,193.852
thrives,0.664,241.713,7.204,7.009,2.074,48.273,45.916,10.469,28.16,8.815,2.59,263.576
thrives,0.526,154.961,8.416,6.429,5.242,47.247,40.666,9.596,18.034,16.066,3.139,135.238
declines,0.625,214.855,5.393,5.475,2.625,30.356,33.637,8.188,24.628,29.161,1.491,120.881
thrives,0.771,141.06,7.041,5.604,5.543,39.091,39.689,8.508,26.466,17.843,2.384,127.488
thrives,0.842,158.983,8.789,7.446,3.704,41.59,44.367,11.192,13.825,7.148,2.318,234.519
declines,0.529,255.808,5.784,2.802,4.056,36.463,47.802,6.851,24.287,14.179,1.998,293.992
thrives,0.431,201.075,7.275,3.034,3.397,39.21,47.382,11.538,33.475,12.848,2.839,152.192
thrives,0.323,235.871,4.323,6.732,3.053,29.471,37.869,6.856,20.353,17.682,2.126,137.793
thrives,0.559,247.955,8.043,3.974,3.819,38.488,36.457,9.331,17.359,13.231,2.366,103.854
thrives,0.675,246.585,4.353,4.584,2.496,31.766,37.194,6.691,18.738,13.055,2.707,112.008
thrives,0.879,167.439,7.32,9.321,4.034,51.249,51.028,8.899,19.324,17.443,1.399,114.141
thrives,0.89,179.255,7.947,10.319,4.115,38.925,46.193,11.313,11.379,13.935,2.852,186.021
declines,0.367,298.27,5.568,6.362,3.641,31.446,29.469,7.024,30.636,19.348,3.088,87.209
declines,0.649,228.399,6.544,6.899,3.385,37.86,40.779,6.765,35.873,8.553,3.438,191.923
declines,0.36,259.363,6.052,0.3,2.522,38.537,19.879,8.899,32.161,26.56,2.905,51.361
thrives,0.585,229.613,6.817,4.454,2.635,42.007,33.651,10.203,33.613,18.372,2.957,262.797
declines,0.472,244.118,5.281,3.554,4.581,36.017,46.015,7.7,30.909,6.833,2.698,205.351
thrives,0.553,228.144,6.92,6.211,3.474,39.35,45.132,9.91,24.241,17.757,3.082,0.0
thrives,0.787,158.695,7.004,5.307,5.614,41.002,49.01,8.507,13.962,5.528,2.562,327.082
declines,0.579,290.824,6.59,0.3,3.529,35.293,35.793,8.405,22.644,21.117,2.628,139.747
thrives,0.528,250.583,5.398,5.504,2.778,37.994,42.843,7.831,18.694,10.02,2.07,142.321
declines,0.568,317.162,5.735,3.55,2.159,36.691,33.725,9.169,31.764,17.752,3.405,236.851
thrives,0.517,206.35,5.08,5.896,4.162,33.579,32.349,5.119,24.526,21.851,2.303,145.605
thrives,0.561,168.798,8.641,3.452,2.506,49.003,46.638,7.538,15.083,5.482,3.13,355.921
thrives,0.53,254.93,4.319,5.813,2.729,25.51,38.957,7.613,27.109,21.908,2.485,186.036
thrives,0.611,206.527,6.138,9.692,2.399,33.051,35.565,7.719,23.265,22.547,2.842,231.041
thrives,0.852,220.74,7.922,9.426,3.656,38.766,38.346,9.114,28.268,20.179,2.801,113.04
thrives,0.893,203.52,8.275,8.458,5.127,51.977,49.996,8.652,13.684,9.309,2.019,189.98
declines,0.543,273.726,5.754,7.213,4.689,26.495,38.65,7.327,27.405,6.838,1.96,87.068
thrives,0.882,234.747,8.102,8.967,3.622,40.411,47.37,8.178,27.431,11.333,3.048,0.0
thrives,0.823,181.893,6.774,5.857,4.361,39.978,45.8,9.309,22.88,0.0,2.503,185.376
thrives,0.615,204.56,9.266,7.516,3.63,54.274,36.869,10.586,18.525,13.833,3.904,151.392
declines,0.465,285.642,4.873,2.153,4.566,27.216,35.89,7.284,24.006,27.177,3.011,74.357
thrives,0.422,330.046,8.108,3.935,0.709,37.754,28.624,8.215,26.515,21.774,1.214,84.015
declines,0.474,219.7,5.755,5.096,2.146,39.381,39.302,6.321,13.065,15.92,3.195,81.499
thrives,0.832,214.15,7.853,5.92,5.162,45.062,50.466,8.566,7.397,14.796,3.158,266.329
thrives,0.663,214.967,4.251,4.42,2.354,28.179,39.616,9.055,4.546,3.172,2.154,111.485
thrives,0.686,258.593,6.833,8.113,2.406,45.922,44.133,12.161,19.172,7.144,3.529,160.274
declines,0.428,288.207,2.737,4.219,2.48,18.415,37.24,6.521,23.707,26.967,2.533,260.922
declines,0.518,197.385,5.323,9.36,3.49,35.253,33.755,6.708,28.874,19.38,2.98,92.95
thrives,0.625,172.451,7.911,6.504,4.112,50.649,34.636,8.899,17.569,0.0,2.982,314.648
thrives,0.602,192.592,8.818,8.096,4.753,48.115,50.417,9.312,16.018,10.384,2.242,111.398
declines,0.732,270.356,5.999,4.385,4.643,34.534,34.233,7.987,21.492,11.754,2.622,265.65
thrives,0.692,158.515,7.783,7.2,4.343,41.825,47.802,10.63,16.86,6.321,1.795,225.874
thrives,0.609,213.753,5.349,6.147,2.317,33.392,33.33,8.444,25.869,23.195,2.397,82.809
declines,0.391,287.729,2.146,5.26,1.548,19.482,35.771,6.397,31.167,24.909,2.418,170.895
declines,0.563,325.546,6.567,2.349,2.777,37.397,28.674,4.992,26.344,31.91,3.813,211.069
thrives,0.646,221.22,7.277,6.421,3.958,42.221,41.806,8.048,24.468,12.195,1.952,132.584
declines,0.38,283.195,2.447,3.52,0.807,20.754,27.298,7.293,30.272,22.166,2.72,155.511
declines,0.233,218.572,3.094,8.091,3.56,24.584,38.696,5.331,1.839,22.594,3.551,291.555
declines,0.287,241.629,1.506,2.941,1.667,14.636,30.509,5.821,30.239,26.22,2.842,223.35
thrives,0.555,246.856,6.242,5.444,5.695,30.831,49.512,8.217,11.1,14.836,2.944,194.319
thrives,0.548,239.512,5.925,4.652,5.076,34.066,46.206,8.635,26.504,11.746,2.759,227.522
declines,0.266,305.003,2.378,4.671,1.237,25.74,32.837,4.236,29.891,23.451,2.907,66.569
declines,0.525,260.158,4.934,5.757,4.43,26.167,42.241,9.282,21.56,23.475,2.479,147.375
thrives,0.561,265.424,5.978,2.1,3.198,37.338,33.85,8.818,21.087,26.24,2.389,146.201
thrives,0.539,202.798,10.304,8.514,3.098,53.046,46.589,8.957,18.864,12.91,3.165,278.879
thrives,0.66,242.645,8.975,8.652,4.284,48.736,51.147,11.164,10.128,12.078,1.573,174.193
thrives,0.588,228.968,6.164,6.483,2.023,36.668,35.343,7.205,36.998,17.544,3.311,126.737
thrives,0.409,244.853,8.078,3.428,3.805,42.74,35.608,10.115,24.025,16.241,3.135,213.353
thrives,0.551,273.581,5.157,6.169,3.8,30.186,37.025,8.141,20.273,32.16,1.494,196.279
declines,0.487,369.447,4.117,9.583,2.932,29.109,36.55,5.826,16.493,25.977,2.926,139.168
thrives,0.769,226.254,5.12,6.408,4.742,31.868,43.834,7.33,13.946,12.369,2.505,108.658
declines,0.391,304.048,5.113,3.759,0.267,29.31,37.753,9.006,21.202,31.825,2.893,234.766
thrives,0.84,173.764,6.856,4.388,3.186,34.583,46.477,9.054,19.901,13.705,2.86,201.9
thrives,0.834,179.624,9.181,5.686,4.079,41.98,47.042,7.632,29.064,9.364,3.808,217.138
declines,0.289,294.111,3.53,4.495,1.484,33.238,34.204,4.589,26.931,39.312,3.093,63.044
thrives,0.755,183.897,8.182,12.427,6.302,47.437,46.685,8.083,15.298,1.69,1.432,38.34
thrives,0.51,236.25,7.449,6.431,3.803,34.086,32.427,10.971,30.014,12.637,2.764,171.125
thrives,0.788,207.658,7.737,10.322,3.873,46.347,43.116,7.534,20.718,6.32,2.418,96.984
thrives,0.52,248.304,3.176,8.544,2.246,25.942,39.591,7.293,36.895,24.382,1.904,0.0
declines,0.383,249.8,4.419,8.162,2.255,16.594,33.223,8.477,24.788,25.136,2.513,93.87
thrives,0.785,156.329,7.172,7.403,4.299,40.894,42.461,7.496,19.587,0.0,2.14,144.057
declines,0.633,229.388,6.463,2.349,2.996,39.967,36.556,6.241,21.479,12.932,3.124,159.391
thrives,0.581,216.48,5.518,5.241,3.001,27.47,44.574,10.204,23.859,12.027,2.139,145.367
declines,0.511,351.673,3.097,4.398,2.787,29.492,27.576,7.956,20.891,17.11,3.22,0.0
declines,0.358,258.683,4.564,5.54,3.595,25.853,42.715,6.452,22.247,22.822,2.444,82.164
thrives,0.525,196.94,3.551,9.104,5.342,20.097,52.798,5.187,27.847,15.399,2.6,125.208
thrives,0.58,304.022,5.175,6.164,1.729,38.143,42.31,9.061,33.293,23.745,2.44,210.188
thrives,0.494,184.541,5.805,3.836,1.158,33.285,37.933,8.086,16.849,28.515,3.503,37.81
declines,0.3,295.73,2.747,4.907,0.579,25.628,30.682,4.715,31.139,29.168,2.918,134.291
thrives,0.463,272.118,3.49,2.439,3.38,26.643,41.34,5.624,42.474,14.724,3.545,202.806
thrives,0.659,160.571,7.706,11.519,7.322,43.835,47.007,9.13,23.841,12.946,3.284,58.916
declines,0.459,299.529,5.933,5.742,2.954,39.942,35.465,8.013,18.635,26.351,2.084,52.275
thrives,0.593,227.569,6.782,2.904,3.911,40.561,51.433,7.62,29.892,22.62,3.707,120.655
thrives,0.613,272.356,5.94,4.081,3.401,42.962,48.347,10.007,27.117,22.852,1.339,87.408
declines,0.467,260.658,4.938,5.847,2.006,25.406,36.332,7.376,20.532,14.976,2.497,146.131
declines,0.347,300.8,4.268,0.3,3.393,33.267,40.946,5.702,28.254,19.485,2.517,0.0
declines,0.344,268.226,3.482,0.3,1.67,27.72,28.04,3.794,24.731,30.151,1.86,188.425
declines,0.49,253.487,6.466,6.407,2.554,38.896,45.543,8.32,12.276,23.169,2.495,145.316
thrives,0.553,246.614,4.478,6.803,4.203,24.804,35.411,7.916,33.004,23.412,3.579,205.288
thrives,0.325,233.343,7.01,5.931,3.624,36.42,33.059,7.918,28.858,22.847,1.078,156.353
thrives,0.841,184.212,9.577,8.783,4.758,44.837,53.905,11.182,4.037,0.172,2.669,241.319
thrives,0.697,180.274,7.49,5.158,5.865,42.588,35.246,9.14,11.524,12.365,2.134,112.437
declines,0.56,313.546,5.684,3.238,3.405,36.933,35.865,10.026,32.972,26.438,0.941,124.918
declines,0.601,216.725,5.154,6.605,5.246,26.847,35.069,6.333,34.881,4.119,1.442,239.373
declines,0.565,261.968,4.812,4.319,1.614,36.248,32.732,9.335,34.754,18.426,2.783,94.504
thrives,0.413,219.619,6.127,5.744,3.77,35.546,39.328,8.695,25.293,13.487,2.64,163.174
declines,0.543,192.358,5.285,9.147,2.138,30.008,43.849,6.696,45.869,12.644,3.085,110.631
declines,0.6,223.959,5.236,4.443,1.719,34.949,32.467,8.292,27.311,15.994,1.48,233.714
thrives,0.258,289.114,5.447,6.784,3.177,26.989,31.494,6.764,30.536,25.028,2.373,134.936
thrives,0.567,190.332,5.064,5.438,3.533,39.023,41.324,6.243,27.278,15.452,2.78,129.822
declines,0.445,290.652,4.472,1.8,2.28,29.729,33.284,8.365,25.618,22.26,1.89,112.694
declines,0.331,294.573,3.467,0.3,1.538,32.954,38.438,3.711,39.59,16.255,2.019,143.129
declines,0.306,252.216,4.658,7.22,3.056,32.78,37.84,8.957,23.998,31.53,2.568,119.745
thrives,0.246,332.49,2.772,2.86,0.53,16.074,27.88,6.846,41.161,28.637,2.897,187.691
thrives,0.886,111.392,9.719,9.398,6.33,50.248,54.653,13.049,25.9,0.0,2.654,30.68
thrives,0.659,251.575,3.927,8.219,3.023,27.481,40.126,7.971,26.702,18.008,1.905,122.855
thrives,0.653,293.737,5.402,7.167,3.839,36.449,35.53,9.591,20.115,12.283,3.32,94.096
declines,0.218,278.677,4.503,1.996,2.71,23.205,37.494,7.651,26.386,22.744,1.884,186.388
thrives,0.412,306.501,4.101,4.323,1.323,27.93,23.835,5.878,24.238,22.765,0.8,247.081
declines,0.668,247.186,7.671,4.695,2.349,40.912,39.73,13.593,15.153,18.348,2.686,84.553
declines,0.551,261.81,6.296,6.9,2.876,32.556,46.417,8.112,27.33,7.923,2.576,164.476
declines,0.46,246.54,5.112,6.089,2.247,35.126,32.265,7.104,27.38,34.837,2.772,179.191
thrives,0.809,261.948,5.753,8.658,4.176,34.184,41.493,8.576,11.445,15.013,1.436,187.92
thrives,0.736,193.238,8.724,6.777,6.117,44.658,52.623,9.084,30.802,0.0,3.048,128.029
thrives,0.917,225.936,8.093,5.328,4.6,37.142,46.495,10.299,12.945,7.547,2.547,257.719
thrives,0.534,227.41,5.899,4.038,4.892,34.081,34.574,8.134,22.076,25.167,2.97,133.522
thrives,0.346,289.628,5.215,1.857,3.3,34.36,33.678,10.143,26.666,15.796,3.931,241.237
thrives,0.701,230.423,8.003,6.254,6.105,42.316,55.186,11.309,29.666,11.784,1.964,130.303
thrives,0.692,215.539,8.81,9.614,2.799,45.573,45.197,9.606,28.636,11.422,2.207,165.702
declines,0.467,328.741,6.64,1.633,3.282,33.655,34.855,10.606,15.508,30.411,3.429,283.038
thrives,0.501,181.707,6.29,4.635,2.029,31.786,36.59,7.572,18.892,12.964,3.359,67.194
thrives,0.473,255.104,5.528,4.305,3.051,31.881,47.524,7.783,18.259,12.067,2.271,71.627
thrives,0.95,196.304,10.032,6.967,5.537,46.944,53.582,9.338,15.686,8.871,2.934,179.472
thrives,0.747,246.782,8.134,6.709,4.02,43.024,28.84,9.536,24.797,6.693,3.086,258.65
thrives,0.724,234.877,6.383,7.316,2.919,35.974,36.376,8.358,20.778,13.39,1.769,94.6
thrives,0.59,244.054,7.071,6.891,4.456,38.806,46.964,7.769,32.22,13.607,3.871,178.393
thrives,0.841,172.604,6.636,6.999,2.47,39.162,43.605,9.547,26.264,13.174,2.736,306.061
declines,0.334,245.124,5.583,2.198,3.303,34.267,25.592,8.776,20.824,30.688,1.863,210.925
thrives,0.827,164.145,8.017,10.962,6.006,48.19,62.525,9.583,31.271,10.918,2.243,215.66
thrives,0.95,152.003,11.341,10.632,6.535,52.758,61.001,11.752,18.211,1.426,2.055,128.064
thrives,0.669,191.969,5.781,7.208,5.152,35.972,53.882,9.789,22.636,18.388,1.296,88.108
declines,0.152,307.65,5.997,2.296,1.398,39.636,36.283,10.386,19.069,28.954,3.248,209.928
thrives,0.336,287.0,6.332,1.14,3.99,38.161,27.047,9.343,29.68,20.991,2.615,79.866
thrives,0.725,181.2,5.978,5.402,3.86,38.252,41.511,10.838,22.09,16.969,2.467,128.985
declines,0.562,212.927,5.105,7.079,3.201,29.917,44.869,8.2,15.373,5.556,2.956,169.946
thrives,0.787,163.71,8.715,9.348,3.543,48.289,44.364,9.375,24.684,13.518,2.199,117.068
declines,0.261,319.326,3.809,4.527,1.797,28.41,33.096,7.147,30.413,23.529,2.642,220.517
declines,0.214,346.267,1.159,0.788,0.083,12.22,21.478,5.521,30.024,27.429,2.714,172.402
thrives,0.757,167.915,9.418,6.691,5.446,51.388,46.784,11.112,21.64,7.134,1.965,80.725
thrives,0.722,226.645,6.983,5.587,5.061,39.73,44.35,12.352,15.932,12.98,2.814,107.172
declines,0.437,265.167,4.645,7.165,3.291,30.288,35.725,6.802,27.196,24.345,2.653,137.874
thrives,0.487,224.613,5.046,3.749,2.524,37.561,31.214,11.259,28.658,12.262,2.259,151.44
declines,0.501,266.301,4.005,4.089,2.553,24.643,40.76,3.874,16.285,27.962,2.734,295.924
thrives,0.449,263.023,5.536,6.14,4.039,29.17,42.429,7.316,31.962,12.504,2.547,186.199
declines,0.323,259.198,4.586,5.167,0.0,26.316,33.55,6.841,28.584,33.185,2.126,147.655
declines,0.508,235.429,3.64,3.768,1.398,25.175,39.283,5.318,27.894,19.83,2.983,98.936
thrives,0.445,171.476,7.091,3.633,5.109,39.807,35.336,9.167,37.944,15.199,2.717,231.989
