outcome,honey_stores_kg,autumn_hive_mass_kg,varroa_mite_index,forager_traffic_per_min,brood_frames,daily_temp_swing_c,queen_age_years,insulation_thickness_mm,hive_age_years,distance_to_water_m,ambient_noise_db,apiary_elevation_m
struggles,10.42,26.85,3.25,20.9,3.75,6.92,3.45,26.38,2.31,229.43,51.98,376.86
thrives,16.55,32.63,2.81,41.32,6.29,8.08,0.89,12.8,1.7,357.32,54.72,373.84
thrives,13.61,28.5,3.08,33.22,4.98,11.31,2.76,30.96,0.88,436.6,39.45,331.57
thrives,16.64,29.64,1.11,39.19,9.03,4.61,0.94,32.84,2.05,253.51,36.19,411.0
struggles,16.78,30.72,2.67,35.74,5.61,7.96,0.32,18.4,5.48,183.09,45.95,309.19
struggles,13.96,29.49,4.66,27.73,5.11,8.99,2.54,22.05,3.64,269.31,38.49,290.52
thrives,15.96,32.81,2.27,44.66,7.17,8.23,0.1,24.37,6.67,148.65,52.49,459.61
thrives,20.35,36.84,0.18,52.4,9.65,7.98,1.33,30.53,8.88,319.16,48.96,325.97
thrives,16.54,33.29,1.86,41.97,7.75,7.92,1.28,17.04,5.19,300.89,37.1,436.5
struggles,11.87,27.6,5.1,27.06,5.78,6.15,0.61,17.62,4.94,152.64,58.72,239.98
thrives,17.26,32.59,1.17,44.95,7.47,5.47,2.55,23.32,3.84,385.67,42.89,517.61
struggles,9.8,24.64,4.53,27.42,3.2,9.85,0.79,22.14,3.46,266.75,34.93,334.42
struggles,15.19,29.52,3.03,37.59,6.19,8.01,1.78,11.71,7.58,312.31,31.02,227.92
struggles,10.13,25.88,4.52,20.14,5.66,8.88,2.08,24.46,4.49,109.87,39.18,540.4
thrives,15.49,30.65,2.54,32.32,7.22,9.58,3.27,20.29,3.63,451.48,50.04,403.72
struggles,11.36,26.85,2.85,29.11,5.07,13.26,1.52,13.8,5.6,353.08,40.46,332.89
struggles,21.34,37.37,1.28,41.28,9.0,9.73,0.1,28.34,2.6,188.17,46.69,433.8
thrives,24.3,40.15,0.98,47.3,11.03,10.07,1.12,16.59,6.11,369.63,35.29,602.29
struggles,11.8,27.06,2.06,31.17,7.75,10.03,1.91,18.63,3.83,270.49,54.45,390.09
thrives,17.29,32.19,1.54,41.39,6.96,6.73,1.26,16.24,6.6,228.74,43.92,393.36
struggles,14.52,28.14,2.83,39.23,6.43,12.34,1.52,25.45,4.22,311.73,45.3,364.0
thrives,16.53,32.6,2.95,33.03,6.92,9.83,1.51,30.2,4.21,503.1,43.95,401.9
struggles,11.16,27.78,3.02,43.14,7.0,6.89,1.47,28.2,6.22,127.31,47.12,453.26
thrives,16.02,32.07,1.86,40.16,7.68,6.34,1.47,22.94,7.09,293.62,45.86,448.33
thrives,18.87,31.74,0.9,51.07,7.68,7.92,1.11,35.75,7.68,289.44,41.35,494.41
thrives,13.58,29.91,4.02,32.19,7.37,9.44,1.06,17.21,6.38,198.21,55.0,343.52
thrives,14.92,31.57,3.02,30.66,4.83,11.3,2.61,20.81,5.9,80.13,53.5,278.28
struggles,9.99,26.1,2.56,28.81,4.5,11.11,3.75,24.23,5.69,110.85,40.71,400.22
thrives,11.59,24.93,2.71,32.58,7.37,11.3,1.16,18.72,4.92,284.2,50.8,356.18
struggles,18.95,32.83,1.58,39.67,8.74,5.91,0.48,22.86,4.49,319.04,41.54,352.78
thrives,17.71,32.64,1.26,39.97,8.14,8.01,1.44,22.91,2.37,360.01,49.39,609.21
thrives,18.76,32.55,1.29,42.48,8.01,7.91,1.93,14.76,2.58,224.22,48.02,382.98
thrives,17.3,34.67,2.28,41.74,7.81,7.17,2.07,21.41,2.1,339.11,60.46,453.29
thrives,17.62,33.38,2.39,45.07,9.84,7.5,0.5,22.4,7.36,298.6,59.26,396.53
struggles,7.12,22.5,5.92,26.31,5.36,13.76,2.2,10.86,7.81,327.16,65.98,609.81
struggles,7.38,24.05,4.27,23.47,2.71,10.22,2.03,13.34,2.16,148.19,62.07,277.79
struggles,13.12,29.16,2.72,33.32,6.01,11.24,1.4,13.54,4.15,173.14,48.04,241.37
struggles,10.19,26.99,4.42,17.25,4.27,10.95,2.04,13.52,2.02,200.18,37.46,591.85
struggles,13.35,32.27,2.88,29.74,5.31,12.1,1.43,16.02,6.38,334.03,42.9,405.84
struggles,10.7,27.03,3.24,25.72,6.69,10.21,1.61,17.57,3.8,366.47,47.79,419.61
thrives,16.29,32.89,3.46,33.94,6.5,8.98,2.61,23.5,5.32,264.82,44.97,421.96
thrives,22.48,36.94,1.5,53.11,10.38,9.26,0.95,25.93,7.56,356.4,40.59,419.54
struggles,9.62,26.37,3.75,16.33,5.12,9.49,0.99,22.2,3.98,211.27,48.35,337.08
thrives,15.4,31.84,1.2,46.47,7.09,8.46,1.77,21.35,4.02,318.93,57.45,556.67
thrives,18.98,32.33,1.0,33.01,7.72,7.25,0.68,16.36,5.48,387.98,57.93,314.54
thrives,19.58,36.66,0.49,39.99,7.93,8.53,1.74,16.73,3.18,191.36,41.12,208.8
thrives,16.17,32.54,1.96,43.39,6.94,7.52,3.72,22.59,2.4,323.16,57.06,238.17
struggles,13.25,29.65,2.72,40.69,6.64,11.5,2.19,30.32,6.26,379.73,48.51,356.37
struggles,16.89,31.56,1.34,42.38,6.54,8.4,0.7,20.07,3.94,174.78,51.27,654.02
thrives,21.95,33.51,0.0,54.33,10.65,5.88,1.15,27.45,7.89,183.9,44.22,290.94
thrives,13.27,29.17,1.1,36.1,7.39,8.82,2.84,25.64,6.32,272.39,43.58,435.08
struggles,1.99,17.18,5.2,8.84,2.16,11.56,2.7,19.84,2.13,311.92,43.65,495.18
thrives,20.51,34.49,0.0,40.13,9.76,6.94,2.82,27.07,7.48,282.78,52.82,442.82
struggles,7.65,23.99,3.57,17.13,6.12,11.05,2.92,16.75,4.99,373.28,47.43,399.93
struggles,7.36,23.77,4.37,15.95,3.89,15.58,1.85,30.13,5.37,271.55,49.8,369.2
struggles,14.51,30.28,2.71,31.69,8.69,8.52,2.64,22.85,3.41,309.76,38.49,541.42
thrives,17.88,31.66,0.75,31.16,7.39,10.33,3.66,25.11,3.01,344.89,44.13,355.5
thrives,18.94,35.06,0.46,50.98,8.47,8.65,0.39,22.47,5.25,192.62,74.62,531.16
struggles,15.6,29.82,2.43,35.44,6.96,6.67,1.71,27.65,6.01,374.29,47.07,331.09
struggles,8.17,24.25,4.78,27.86,3.9,11.19,2.84,15.23,6.58,161.18,51.75,479.41
thrives,14.24,30.62,1.52,34.19,6.93,4.41,3.17,10.79,1.66,452.25,48.51,390.12
thrives,9.68,25.55,2.02,43.07,6.71,12.05,1.86,12.98,4.74,152.44,44.08,516.94
thrives,11.56,26.3,2.94,31.61,5.09,8.91,1.71,12.9,3.22,371.87,52.49,238.15
thrives,17.24,33.63,1.16,40.74,6.99,6.28,1.25,23.63,8.27,306.6,39.56,580.28
thrives,12.46,27.4,4.03,27.01,6.05,9.81,2.79,19.59,7.48,49.69,55.7,283.6
thrives,13.7,29.24,3.75,35.24,6.88,13.86,1.21,13.25,7.94,306.59,59.58,367.11
struggles,13.38,29.02,2.53,39.58,5.08,9.63,1.96,24.07,1.76,241.4,33.47,287.72
struggles,9.68,24.43,2.66,18.74,6.32,8.78,2.51,21.51,5.22,304.12,59.39,329.78
struggles,6.16,22.39,4.56,20.44,4.13,11.37,2.62,14.66,5.79,293.44,45.11,424.43
thrives,13.91,27.83,1.81,32.79,8.95,8.05,1.19,22.73,8.82,223.35,46.49,453.0
thrives,17.19,32.07,2.06,33.62,7.43,4.04,1.45,19.44,5.57,237.35,52.95,430.01
thrives,16.65,30.75,2.37,37.77,6.67,7.82,1.98,15.66,3.58,122.51,55.89,446.46
struggles,14.26,26.61,3.25,25.62,4.51,7.63,2.84,9.49,3.31,198.25,45.87,332.27
thrives,18.56,33.18,1.6,35.56,7.34,9.35,0.1,21.69,7.2,273.27,47.01,452.04
struggles,13.02,26.97,3.39,33.09,8.57,10.67,1.57,22.86,5.79,349.1,61.01,409.53
thrives,11.39,26.77,2.42,30.29,6.73,12.2,3.09,40.74,4.51,159.56,60.18,392.25
thrives,15.75,32.43,1.44,61.65,9.04,4.93,1.8,19.87,5.29,87.32,51.05,301.06
thrives,19.36,34.37,0.76,42.1,6.84,6.84,2.6,29.31,0.2,362.6,44.21,499.82
thrives,14.51,28.04,2.27,32.74,7.71,10.15,2.11,22.15,5.71,182.21,56.11,274.64
thrives,13.74,29.86,2.7,32.4,6.53,12.21,1.68,19.13,8.04,268.08,49.55,486.82
struggles,5.87,24.01,3.66,17.96,6.82,9.77,0.53,4.0,1.34,291.26,33.21,454.23
thrives,22.26,36.52,1.21,43.19,7.72,7.02,0.87,29.13,3.01,174.07,36.7,308.71
struggles,9.12,25.97,1.76,25.43,4.82,11.95,2.06,14.62,4.76,159.75,44.99,434.79
thrives,19.43,34.33,0.46,43.46,10.0,8.45,1.79,14.13,7.35,301.23,49.23,355.11
thrives,12.92,29.04,2.22,37.92,7.6,7.73,1.6,16.33,8.69,268.55,48.95,514.84
thrives,20.01,33.04,1.28,42.62,7.28,6.51,1.97,8.72,5.27,122.53,39.74,394.04
thrives,18.06,34.22,2.45,31.57,7.1,9.21,1.02,24.93,3.0,203.92,36.04,340.62
struggles,10.24,25.06,3.32,26.98,5.4,9.6,2.28,18.34,7.65,156.99,41.79,420.18
struggles,15.74,33.69,1.61,51.23,6.3,9.7,3.88,23.65,5.5,317.26,47.9,468.49
thrives,18.52,31.17,0.0,48.86,9.44,2.83,1.04,25.03,8.38,217.35,48.16,329.08
thrives,15.93,29.79,0.08,29.12,6.66,9.26,2.91,21.32,8.16,309.25,44.16,445.06
struggles,2.81,20.8,6.46,11.93,2.46,8.93,4.58,15.66,3.88,285.0,45.18,402.88
thrives,17.75,34.93,2.1,36.06,7.68,7.15,1.27,13.83,4.02,242.04,59.46,370.46
struggles,12.65,26.83,3.33,24.14,5.26,10.86,2.67,20.51,0.72,158.07,44.96,497.93
thrives,16.46,29.24,0.06,38.98,7.43,4.17,1.58,22.14,5.98,295.47,43.66,471.11
thrives,11.83,27.06,3.16,29.42,4.79,9.47,2.64,37.37,0.69,223.31,52.26,474.09
struggles,11.45,25.74,3.56,30.08,3.07,9.17,2.74,22.64,6.15,183.1,48.29,403.0
struggles,16.13,33.15,3.75,28.11,6.26,8.35,2.84,14.11,9.95,530.94,50.89,621.38
struggles,9.53,27.54,2.53,31.1,6.34,9.08,5.24,28.18,8.84,130.49,41.99,734.9
thrives,15.43,31.58,2.69,40.61,6.43,9.75,2.53,20.41,3.26,176.35,34.16,484.01
thrives,20.27,33.62,0.68,40.21,8.55,4.91,2.34,21.91,6.81,236.58,52.96,370.9
thrives,21.91,38.8,0.81,50.64,9.18,9.93,0.1,15.32,2.27,236.6,45.55,553.36
struggles,4.83,21.74,3.81,21.44,5.27,9.82,1.16,26.26,3.95,216.09,41.59,531.25
thrives,21.22,37.97,0.02,45.45,10.08,6.82,0.82,5.34,8.17,301.46,48.82,258.18
thrives,14.33,27.83,2.06,42.5,7.56,9.8,1.52,28.15,5.38,121.62,36.39,364.74
thrives,15.09,32.1,2.89,32.75,6.51,7.65,1.49,8.63,6.44,197.21,37.88,341.21
thrives,16.96,30.65,1.74,39.0,7.65,7.34,2.0,17.72,4.66,307.61,49.4,367.33
thrives,15.07,30.64,4.47,31.34,5.64,6.83,1.22,26.52,1.38,121.38,37.62,342.13
thrives,20.61,36.32,1.29,44.16,8.05,4.45,1.79,19.15,4.88,138.13,54.75,301.25
struggles,12.74,29.26,4.32,29.2,6.37,8.76,1.07,17.81,3.78,259.88,52.57,532.41
thrives,18.39,31.62,1.04,52.23,7.44,6.6,2.67,10.17,8.31,244.77,43.63,320.33
struggles,17.26,32.12,0.63,45.02,6.88,9.59,1.53,16.26,5.31,300.45,46.7,241.07
thrives,16.69,31.19,2.42,37.72,7.71,8.68,1.1,11.81,4.42,238.54,46.78,448.0
thrives,12.56,27.77,3.22,34.6,7.17,8.01,2.8,21.93,6.06,238.45,48.72,431.98
thrives,11.41,27.14,2.85,35.27,5.26,8.81,1.47,21.87,0.2,162.44,36.72,303.36
thrives,21.64,37.22,0.0,50.44,8.62,5.01,1.79,10.9,4.42,196.0,44.72,369.64
thrives,17.65,34.74,2.64,33.57,9.16,7.91,1.22,9.3,2.61,275.4,39.75,278.27
thrives,21.03,36.21,0.03,53.52,10.34,11.56,0.62,25.48,2.87,263.99,47.13,400.2
thrives,21.39,34.18,0.07,48.57,6.33,7.48,0.73,24.01,3.79,238.85,42.27,404.28
thrives,16.29,31.24,2.21,43.97,8.32,5.41,1.63,28.59,0.2,447.71,33.86,538.71
thrives,17.99,34.22,1.85,35.43,6.81,7.65,2.55,22.35,4.27,179.59,41.74,308.95
struggles,9.48,27.53,4.26,22.07,4.75,9.16,2.13,36.08,5.96,217.65,32.81,323.39
struggles,15.6,32.97,2.13,42.79,6.65,9.02,0.32,20.77,7.64,345.34,37.06,268.67
thrives,16.32,31.71,1.22,46.7,7.69,7.84,1.72,27.64,6.29,336.69,42.92,465.57
thrives,10.55,28.14,3.56,28.85,6.04,10.03,1.76,12.72,5.25,155.99,52.92,280.73
thrives,17.78,32.19,1.58,41.92,5.8,8.13,0.79,22.68,2.99,280.75,45.01,325.06
struggles,10.15,23.67,3.26,24.59,6.23,12.71,3.73,18.13,6.56,296.64,51.96,544.81
thrives,15.85,31.42,1.96,39.95,8.02,11.49,0.84,28.1,4.1,300.59,56.43,320.61
thrives,15.83,32.1,1.53,47.78,7.67,8.5,2.1,30.2,7.59,334.41,47.87,504.14
thrives,16.98,31.0,2.25,27.35,7.12,5.47,2.13,18.9,2.34,220.27,44.48,449.59
thrives,13.03,27.85,4.34,30.44,4.07,9.74,1.21,18.76,1.76,439.64,47.72,310.13
thrives,20.89,37.01,1.23,48.48,7.81,6.34,2.01,28.83,7.28,302.0,44.15,404.45
thrives,15.76,32.07,1.61,34.31,6.38,9.4,2.6,22.16,4.98,294.48,23.27,490.83
struggles,10.64,25.43,3.44,20.16,4.85,13.08,0.62,19.13,6.84,242.57,40.46,489.4
struggles,12.65,26.56,2.82,38.17,5.14,9.14,1.82,27.09,2.41,274.92,41.61,208.66
thrives,19.86,35.61,0.59,50.06,8.09,8.63,1.3,21.96,0.2,108.1,39.87,427.76
thrives,18.29,32.31,2.61,43.53,8.46,11.24,1.0,27.94,5.36,187.62,42.72,382.42
thrives,13.6,28.66,0.5,35.76,9.59,9.73,2.96,24.56,6.91,365.64,42.5,435.51
thrives,12.58,26.98,2.86,32.87,5.29,9.87,1.95,15.08,5.97,302.74,31.4,497.65
thrives,18.95,33.1,2.23,43.08,6.89,6.38,0.98,23.89,9.59,300.73,42.03,488.45
thrives,20.04,34.41,1.63,43.85,9.66,7.39,2.05,23.12,3.02,223.79,44.61,333.26
thrives,11.73,26.48,3.34,31.88,6.74,10.36,1.44,24.03,1.36,201.72,61.3,292.3
thrives,15.02,32.47,1.98,36.85,7.04,8.93,2.97,20.01,0.2,150.78,33.1,499.73
thrives,17.04,31.96,2.47,44.21,8.09,9.09,1.49,20.29,4.15,112.84,53.8,556.09
struggles,13.08,28.6,3.57,29.13,4.09,13.78,1.64,20.74,3.02,330.22,40.81,415.94
struggles,8.65,24.91,2.66,18.88,4.8,10.39,2.16,32.23,1.75,386.61,44.59,524.12
thrives,17.38,31.87,2.28,40.2,6.63,7.69,2.63,30.25,7.86,300.51,36.98,421.91
thrives,19.54,34.81,1.98,48.25,8.59,6.02,0.97,31.02,5.05,229.82,43.16,463.65
thrives,10.89,27.54,2.54,28.48,6.05,9.89,1.78,17.74,5.58,423.84,52.3,280.07
thrives,14.73,32.62,2.78,40.37,7.59,8.88,1.73,10.13,0.2,295.42,47.51,342.64
thrives,5.68,20.4,3.74,23.44,3.87,5.75,1.48,21.61,2.21,453.15,43.3,533.45
thrives,14.86,32.28,2.41,31.18,8.18,7.73,0.22,18.5,3.12,145.91,50.06,429.89
thrives,16.38,33.58,2.74,29.57,7.73,7.76,1.43,16.26,6.33,271.1,50.01,402.87
struggles,12.09,27.24,2.83,34.6,7.12,11.44,1.74,23.52,4.53,295.56,58.24,200.22
struggles,12.44,26.82,3.61,32.35,5.42,7.18,2.16,20.38,2.72,362.81,44.38,362.11
thrives,15.65,30.24,4.81,25.02,6.21,12.7,2.54,23.55,4.32,307.57,52.38,682.01
struggles,10.29,26.66,3.81,19.02,5.97,11.4,3.1,10.96,5.21,224.69,48.97,277.54
struggles,7.76,23.57,3.54,22.7,7.13,7.28,2.9,25.3,2.8,185.45,48.43,220.05
thrives,18.54,33.42,0.0,26.65,8.71,7.59,1.61,30.19,5.53,263.53,46.15,551.27
thrives,17.52,34.45,2.7,37.18,7.3,6.4,1.72,15.44,6.38,414.16,48.5,432.43
thrives,18.81,34.26,1.67,40.68,9.13,6.0,2.1,22.74,5.48,311.76,36.64,243.78
thrives,18.83,36.18,1.36,36.2,8.62,6.26,1.99,20.1,6.53,185.16,50.79,591.08
thrives,15.98,32.52,2.73,30.05,5.9,3.29,1.08,24.65,4.53,353.22,55.64,686.65
struggles,11.97,28.25,3.28,30.62,6.03,7.33,2.24,19.09,5.32,308.33,42.32,289.83
thrives,11.83,26.7,2.19,42.27,8.56,7.63,2.78,26.72,5.94,342.03,35.7,251.43
thrives,21.27,35.03,0.2,48.46,10.14,7.31,1.56,21.35,4.95,214.37,41.5,611.07
thrives,16.01,31.03,2.0,31.21,6.52,9.64,0.1,21.0,7.14,130.11,39.18,195.58
struggles,9.54,23.23,3.29,25.35,5.94,11.19,2.47,30.54,8.95,147.89,36.37,419.9
thrives,16.98,32.98,0.71,38.99,8.62,10.06,2.07,21.59,4.54,182.95,39.22,367.51
thrives,13.32,28.98,2.57,26.51,6.73,11.0,1.99,18.34,6.65,171.13,40.81,402.58
struggles,12.16,27.16,3.26,22.58,4.66,8.24,2.04,28.42,6.31,73.07,34.75,202.58
thrives,14.65,27.58,1.92,41.36,5.22,8.49,3.87,22.74,4.54,260.07,39.48,649.67
struggles,15.26,28.48,3.42,24.06,7.0,11.22,0.48,23.24,6.1,323.81,43.26,436.39
struggles,11.73,28.19,4.06,34.46,5.68,8.48,2.33,19.28,6.33,162.65,53.88,641.44
thrives,14.62,30.95,2.39,29.71,5.93,6.25,1.12,31.35,1.96,402.04,56.07,513.13
struggles,7.82,25.14,3.89,24.72,5.52,8.86,0.1,26.62,8.14,240.24,30.38,348.11
struggles,13.78,28.46,3.03,37.52,5.27,9.79,2.47,29.12,1.98,355.09,49.63,553.75
struggles,12.76,28.63,3.41,23.04,6.21,9.08,2.97,24.01,2.83,373.84,47.19,537.19
thrives,14.13,30.57,1.71,39.29,6.4,9.7,2.23,5.99,3.75,222.35,46.13,597.34
thrives,22.31,38.46,1.42,46.42,9.94,6.42,2.06,27.81,1.21,309.64,46.25,382.26
thrives,16.75,33.17,1.77,40.19,7.48,6.79,1.28,23.68,1.46,211.71,34.49,491.65
